topic_0,topic_1,topic_2,topic_3,topic_4,dominant_topic
0.012523541759717625,0.9498858482135561,0.012532227296811787,0.012555914559802386,0.012502468170112073,topic_1
0.033361074804154796,0.033492065609575856,0.03333910056480021,0.03343162990150217,0.8663761291199669,topic_4
0.02500414906375051,0.025004187873660277,0.025005702972598756,0.8999810078777599,0.0250049522122305,topic_3
0.0334456420212007,0.03333818599962241,0.033578858165738225,0.8662982460025574,0.03333906781088123,topic_3
0.007696545465212569,0.9691875533151822,0.0077027902494710915,0.007696834688180203,0.007716276281953902,topic_1
0.014286784957718734,0.9427367121967491,0.01430393671086965,0.014299875764249332,0.014372690370413261,topic_1
0.02500323681051144,0.02507421725072831,0.8999152154334628,0.025003469969024722,0.025003860536272616,topic_2
0.03333862821213446,0.8665331592298724,0.03344955402960968,0.03333900971767938,0.03333964881070414,topic_1
0.9191009147477025,0.02001465918649451,0.02002002521622075,0.020257484871629924,0.02060691597795231,topic_0
0.9198258110610453,0.020062263036163583,0.020004223129030923,0.020104032587150315,0.020003670186609975,topic_0
0.014415434165374233,0.942477588362083,0.014313430567410378,0.014349517489277324,0.014444029415855143,topic_1
0.020052175679947513,0.020052647676111136,0.020003794913870082,0.02005630451588538,0.919835077214186,topic_4
0.016669555319729485,0.9332061260236443,0.01678444310933072,0.01666976344740509,0.016670112099890305,topic_1
0.01666868177289169,0.016778154089913105,0.9331514205943824,0.016717882239409027,0.01668386130340379,topic_2
0.033407274415594,0.0333370410788594,0.033379743245905515,0.033412637883704625,0.8664633033759365,topic_4
0.01666868186092501,0.016715315091655032,0.9332136368330224,0.016718500470547536,0.016683865743850026,topic_2
0.03333678394676961,0.03333681610650519,0.03333806865006072,0.8666107569314465,0.03337757436521794,topic_3
0.025015394436350816,0.02500152151652513,0.025002068520510873,0.8999186011204501,0.025062414406163146,topic_3
0.014385981386529842,0.014402467740074773,0.94221260967598,0.014362518696340414,0.014636422501075027,topic_2
0.010038403261668858,0.01002782809836127,0.010185636171559043,0.010012595980195467,0.9597355364882154,topic_4
0.016744022231793748,0.016706382827182426,0.0167139878087657,0.932962307084127,0.016873300048131142,topic_3
0.9332857864315409,0.016686522853333368,0.01667019804775703,0.016687756987849692,0.016669735679519022,topic_0
0.011112287543241093,0.011153845175297555,0.9554879622436839,0.011112372268629583,0.011133532769147842,topic_2
0.009092326560882182,0.963512890826277,0.009155403093317242,0.009116148652003879,0.00912323086751965,topic_1
0.014301281803252386,0.014307101538757402,0.014287788531875888,0.014375676737163468,0.9427281513889509,topic_4
0.05000297742686693,0.050003005175653446,0.7996088079743463,0.05038165838755591,0.0500035510355775,topic_2
0.05000297742686693,0.050003005175653446,0.7996088079743463,0.05038165838755591,0.0500035510355775,topic_2
0.9330892769765329,0.016800198500710826,0.01667046308656452,0.016770095456150325,0.016669965980041397,topic_0
0.7995302416851511,0.050217821508158816,0.05001048280919783,0.05023234409218294,0.05000910990530932,topic_0
0.05041673575545501,0.05000796479440346,0.05001083089473574,0.05000845984772408,0.7995560087076817,topic_4
0.050007129281618316,0.05000719576309171,0.050649348357541375,0.7987792357103554,0.05055709088739322,topic_3
0.020190804407733163,0.020058158048723577,0.020079849719650256,0.9196675176387894,0.020003670185103538,topic_3
0.10001658100891049,0.10001673579273951,0.5999291252914546,0.10001777702355552,0.10001978088333993,topic_2
